City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Decription
0,Kapaa,US,22.0752,-159.319,80.58,88,100,20.71,light rain
1,Tiksi,RU,71.6872,128.8694,-18.71,95,100,12.08,overcast clouds
2,Riviere-Au-Renard,CA,48.9957,-64.3971,12.49,72,92,12.57,overcast clouds
3,Mogadishu,SO,2.0371,45.3438,77.99,80,50,17.31,scattered clouds
4,Georgetown,MY,5.4112,100.3354,80.53,82,20,4.61,few clouds
5,Tual,ID,-5.6667,132.75,77.67,87,100,4.47,overcast clouds
6,Butaritari,KI,3.0707,172.7902,80.83,73,100,11.03,overcast clouds
7,Busselton,AU,-33.65,115.3333,69.67,38,0,11.52,clear sky
8,Brownsville,US,25.9018,-97.4975,74.08,89,75,5.75,broken clouds
9,Jamestown,US,42.097,-79.2353,34.02,72,100,6.91,mist
10,Maracacume,BR,-2.0428,-45.9592,73.58,95,31,3.6,scattered clouds
11,East London,ZA,-33.0153,27.9116,71.91,85,100,21.79,overcast clouds
12,Luderitz,NA,-26.6481,15.1594,62.01,94,15,2.73,few clouds
13,Talcahuano,CL,-36.7167,-73.1167,62.28,59,0,19.57,clear sky
14,Lebu,CL,-37.6167,-73.65,57.78,82,0,15.79,clear sky
15,Kota Kinabalu,MY,5.9749,116.0724,84.18,70,20,3.44,few clouds
16,Samarai,PG,-10.6167,150.6667,84.67,72,65,7.99,broken clouds
17,Bandarbeyla,SO,9.4942,50.8122,74.8,72,1,16.73,clear sky
18,Mataura,NZ,-46.1927,168.8643,63.48,42,62,4.34,broken clouds
19,Hilo,US,19.7297,-155.09,80.33,64,100,5.75,overcast clouds
20,Punta Arenas,CL,-53.15,-70.9167,51.91,62,75,8.05,light intensity shower rain
21,Paita,PE,-5.0892,-81.1144,68.7,84,100,8.86,overcast clouds
22,Lagoa,PT,39.05,-27.9833,62.42,83,0,37.45,clear sky
23,New Norfolk,AU,-42.7826,147.0587,62.92,72,100,1.01,overcast clouds
24,Rikitea,PF,-23.1203,-134.9692,76.39,80,6,18.1,light rain
25,Scarborough,GB,54.2797,-0.4044,27.97,92,16,3.0,few clouds
26,Bluff,NZ,-46.6,168.3333,63.81,79,29,15.55,scattered clouds
27,Cape Town,ZA,-33.9258,18.4232,75.11,84,40,8.99,scattered clouds
28,San Patricio,US,28.017,-97.5169,73.49,77,98,6.73,overcast clouds
29,Fairbanks,US,64.8378,-147.7164,15.22,83,20,0.0,few clouds
30,Pangnirtung,CA,66.1451,-65.7125,11.39,95,97,2.98,overcast clouds
31,Wad Madani,SD,14.4012,33.5199,71.96,28,0,10.54,clear sky
32,Ponta Delgada,PT,37.7333,-25.6667,66.92,88,75,21.85,moderate rain
33,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,49,11.03,scattered clouds
34,Avarua,CK,-21.2078,-159.775,78.85,65,75,9.22,broken clouds
35,Necochea,AR,-38.5473,-58.7368,58.68,88,0,8.03,clear sky
36,Albany,US,42.6001,-73.9662,30.16,91,100,3.74,snow
37,Puerto Carreno,CO,6.189,-67.4859,76.37,83,22,4.54,few clouds
38,Bengkulu,ID,-3.8004,102.2655,80.38,71,100,7.25,overcast clouds
39,Ushuaia,AR,-54.8,-68.3,44.26,81,75,11.5,broken clouds
40,Coyah,GN,9.75,-13.4167,79.75,94,84,2.84,broken clouds
41,Veraval,IN,20.9,70.3667,69.8,43,0,10.49,clear sky
42,Chokurdakh,RU,70.6333,147.9167,-23.46,99,100,7.2,overcast clouds
43,Meadow Lake,US,34.8014,-106.5436,50.11,43,0,10.8,clear sky
44,Yenagoa,NG,4.9247,6.2642,76.75,91,16,3.36,few clouds
45,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,69,0,11.5,clear sky
46,Arraial Do Cabo,BR,-22.9661,-42.0278,74.7,93,43,5.91,scattered clouds
47,Pierre,US,44.3683,-100.351,36.52,71,0,14.0,clear sky
48,Vila Velha,BR,-20.3297,-40.2925,80.55,90,0,4.61,clear sky
49,Batagay,RU,67.6333,134.6333,-27.18,96,100,3.33,overcast clouds
50,Juliaca,PE,-15.5,-70.1333,48.09,70,100,4.03,light rain
51,Hobart,AU,-42.8794,147.3294,63.27,83,75,6.91,broken clouds
52,Keti Bandar,PK,24.1447,67.4497,67.59,42,0,14.47,clear sky
53,Hamilton,US,39.1834,-84.5333,42.94,76,100,5.75,overcast clouds
54,Chiredzi,ZW,-21.05,31.6667,71.08,84,34,6.8,scattered clouds
55,Cidreira,BR,-30.1811,-50.2056,72.86,92,3,15.19,clear sky
56,Victoria,HK,22.2855,114.1577,63.25,74,100,15.01,overcast clouds
57,Oxapampa,PE,-10.5775,-75.4017,57.88,98,100,3.49,overcast clouds
58,Rio Grande,BR,-32.035,-52.0986,74.08,84,5,21.74,clear sky
59,Muros,ES,42.7762,-9.0603,54.09,86,100,10.6,overcast clouds
60,Sioux Lookout,CA,50.1001,-91.917,21.27,93,100,5.75,overcast clouds
61,Faya,SA,18.3851,42.4509,50.52,71,0,2.19,clear sky
62,Kloulklubed,PW,7.0419,134.2556,83.75,73,100,7.58,overcast clouds
63,Barrow,US,71.2906,-156.7887,5.02,85,75,21.85,broken clouds
64,Tarata,BO,-17.6167,-66.0167,60.22,66,100,4.68,overcast clouds
65,Muli,MV,2.9167,73.5667,81.0,78,100,14.43,overcast clouds
66,Hasaki,JP,35.7333,140.8333,52.29,53,8,19.28,clear sky
67,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,59,100,10.36,light intensity shower rain
68,Zalantun,CN,48.0,122.7167,12.0,86,100,2.77,overcast clouds
69,Nanortalik,GL,60.1432,-45.2371,21.34,80,5,5.41,clear sky
70,Biltine,TD,14.5333,20.9167,67.55,18,0,10.54,clear sky
71,Upernavik,GL,72.7868,-56.1549,4.39,95,54,16.89,broken clouds
72,Mar Del Plata,AR,-38.0023,-57.5575,64.09,78,40,13.8,scattered clouds
73,Clonakilty,IE,51.6231,-8.8706,27.61,80,5,2.15,clear sky
74,Cherskiy,RU,68.75,161.3,-29.29,95,100,5.01,overcast clouds
75,Soyo,AO,-6.1349,12.3689,75.78,90,100,5.19,overcast clouds
76,Geraldton,AU,-28.7667,114.6,90.01,15,0,20.71,clear sky
77,Dikson,RU,73.5069,80.5464,19.22,94,100,17.29,light snow
78,University Place,US,47.2356,-122.5504,45.37,92,100,5.75,overcast clouds
